Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Glareola maldivarum Forster, JR, 1795;Glareola maldivarum;Glaréole orientale;Legendaire
A;Glareola nordmanni Fischer von Waldheim, 1842;Glareola nordmanni;Glaréole à ailes noires;Epique
A;Glareola pratincola (Linnaeus, 1766);Glareola pratincola;Glaréole à collier;Rare
A;Onychoprion fuscatus (Linnaeus, 1766);Onychoprion fuscatus;Sterne fuligineuse;Legendaire
A;Onychoprion anaethetus (Scopoli, 1786);Onychoprion anaethetus;Sterne bridée;Epique
A;Sternula albifrons (Pallas, 1764);Sternula albifrons;Sterne naine;Commun
A;Gelochelidon nilotica (Gmelin, JF, 1789);Gelochelidon nilotica;Sterne hansel;Rare
A;Hydroprogne caspia (Pallas, 1770);Hydroprogne caspia;Sterne caspienne;Rare
A;Chlidonias hybrida (Pallas, 1811);Chlidonias hybrida;Guifette moustac;Commun
A;Chlidonias niger (Linnaeus, 1758);Chlidonias niger;Guifette noire;Commun
A;Chlidonias leucopterus (Temminck, 1815);Chlidonias leucopterus;Guifette leucoptère;Rare
A;Sterna forsteri Nuttall, 1834;Sterna forsteri;Sterne de Forster;Legendaire
A;Sterna paradisaea Pontoppidan, 1763;Sterna paradisaea;Sterne arctique;Rare
A;Sterna hirundo Linnaeus, 1758;Sterna hirundo;Sterne pierregarin;Commun
A;Sterna dougallii Montagu, 1813;Sterna dougallii;Sterne de Dougall;Rare
A;Thalasseus sandvicensis (Latham, 1787);Thalasseus sandvicensis;Sterne caugek;Commun
A;Thalasseus elegans (Gambel, 1849);Thalasseus elegans;Sterne élégante;Legendaire
A;Thalasseus bengalensis (Lesson, R, 1831);Thalasseus bengalensis;Sterne voyageuse;Legendaire
A;Thalasseus maximus (Boddaert, 1783);Thalasseus maximus;Sterne royale;Epique
A;Hydrocoloeus minutus (Pallas, 1776);Hydrocoloeus minutus;Mouette pygmée;Rare
A;Rhodostethia rosea (MacGillivray, W, 1824);Rhodostethia rosea;Mouette de Ross;Legendaire
A;Rissa tridactyla (Linnaeus, 1758);Rissa tridactyla;Mouette tridactyle;Commun
A;Pagophila eburnea (Phipps, 1774);Pagophila eburnea;Mouette blanche;Legendaire
A;Xema sabini (Sabine, 1819);Xema sabini;Mouette de Sabine;Rare
A;Chroicocephalus genei (Brème, 1839);Chroicocephalus genei;Goéland railleur;Rare
A;Chroicocephalus philadelphia (Ord, 1815);Chroicocephalus philadelphia;Mouette de Bonaparte;Epique
A;Chroicocephalus ridibundus (Linnaeus, 1766);Chroicocephalus ridibundus;Mouette rieuse;Commun
A;Leucophaeus atricilla (Linnaeus, 1758);Leucophaeus atricilla;Mouette atricille;Epique
A;Leucophaeus pipixcan (Wagler, 1831);Leucophaeus pipixcan;Mouette de Franklin;Epique
A;Ichthyaetus ichthyaetus (Pallas, 1773);Ichthyaetus ichthyaetus;Goéland ichthyaète;Legendaire
A;Ichthyaetus audouinii (Payraudeau, 1826);Ichthyaetus audouinii;Goéland d'Audouin;Rare
A;Ichthyaetus melanocephalus (Temminck, 1820);Ichthyaetus melanocephalus;Mouette mélanocéphale;Commun
A;Larus canus Linnaeus, 1758;Larus canus;Goéland cendré;Commun
A;Larus delawarensis Ord, 1815;Larus delawarensis;Goéland à bec cerclé;Epique
A;Larus cachinnans Pallas, 1811;Larus cachinnans;Goéland pontique;Rare
A;Larus dominicanus Lichtenstein, MHK, 1823;Larus dominicanus;Goéland dominicain;Legendaire
A;Larus argentatus Pontoppidan, 1763;Larus argentatus;Goéland argenté;Commun
A;Larus vegae (Palmén, 1887);Larus vegae;Goéland de la Véga;Legendaire
